2026-03-24 13:35:09,920 | INFO | functions.compare_expected_vs_actual | month.csv: 12 rows preserved
2026-03-24 13:35:09,920 | INFO | functions.compare_expected_vs_actual | month.csv: Processing metadata added
2026-03-24 13:35:09,921 | INFO | functions.compare_expected_vs_actual | sample.csv: 8 -> 5 rows (data cleaning applied)
2026-03-24 13:35:09,921 | INFO | functions.compare_expected_vs_actual | sample.csv: Processing metadata added
2026-03-24 13:35:09,922 | INFO | functions.compare_expected_vs_actual | jonas.csv: 6 -> 5 rows (data cleaning applied)
2026-03-24 13:35:09,922 | INFO | functions.compare_expected_vs_actual | jonas.csv: Processing metadata added
2026-03-24 13:35:09,923 | INFO | functions.compare_expected_vs_actual | year-future.csv: 101 rows preserved
2026-03-24 13:35:09,923 | INFO | functions.compare_expected_vs_actual | year-future.csv: Processing metadata added
2026-03-24 13:35:09,923 | INFO | functions.compare_expected_vs_actual | All comparisons passed
2026-03-24 13:35:09,923 | INFO | __main__ | Committing results
2026-03-24 13:35:10,154 | INFO | functions.commit_results | Results committed and pushed
2026-03-24 13:35:10,154 | INFO | __main__ | Pipeline complete
2026-03-24 13:35:10,649 | INFO | functions.scan_input_folder | Found CSV files in input folder: ['timezone.csv', 'day.csv', 'month.csv', 'sample.csv', 'jonas.csv', 'year-future.csv']
